Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Bajaj Finserv Mutual Fund
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;;INF0QA701185;1033.1412;;;25-Jan-2025
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;INF0QA701235;INF0QA701201;1035.3534;;;25-Jan-2025
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;INF0QA701177;;1107.2843;;;25-Jan-2025
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;INF0QA701243;INF0QA701219;1034.9713;;;25-Jan-2025
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;INF0QA701227;INF0QA701193;1034.0757;;;25-Jan-2025
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;;INF0QA701292;1032.8859;;;25-Jan-2025
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;INF0QA701318;INF0QA701276;1035.0862;;;25-Jan-2025
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;INF0QA701250;;1106.4201;;;25-Jan-2025
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;INF0QA701326;INF0QA701284;1034.7105;;;25-Jan-2025
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;INF0QA701300;INF0QA701268;1033.8135;;;25-Jan-2025

Canara Robeco Mutual Fund
147532;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW (Reinvestment);;INF760K01JN3;1001.0012;;;25-Jan-2025
147531;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION;INF760K01JM5;;1304.5182;;;25-Jan-2025
147533;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW (Reinvestment);;INF760K01JP8;1001.0000;;;25-Jan-2025
147534;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - GROWTH OPTION;INF760K01JO1;;1303.3072;;;25-Jan-2025

Mahindra Manulife Mutual Fund
147563;Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW;;INF174V01846;1310.3077;;;25-Jan-2025
147564;Mahindra Manulife Overnight Fund - Direct Plan -Growth;INF174V01838;;1306.8710;;;25-Jan-2025
147566;Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW;;INF174V01820;1152.7192;;;25-Jan-2025
147565;Mahindra Manulife Overnight Fund - Regular Plan - Growth;INF174V01812;;1299.6020;;;25-Jan-2025
149471;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years;;;1000.0000;;;25-Jan-2025
149470;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years;;;1198.3669;;;25-Jan-2025

NJ Mutual Fund
150369;NJ Overnight Fund - Direct Plan - Growth Option;INF0J8L01081;;1169.5986;;;25-Jan-2025
150368;NJ Overnight Fund - Regular Plan - Growth Option;INF0J8L01073;;1166.6652;;;25-Jan-2025
152116;NJ Overnight Fund - Unclaimed Redemption Plan - Upto 3 Years;;;1016.1193;;;25-Jan-2025

Samco Mutual Fund
150631;Samco Overnight Fund - Direct Plan - Growth Option;INF0K1H01040;;1156.8412;;;25-Jan-2025
150632;Samco Overnight Fund - Regular Plan - Growth Option;INF0K1H01032;;1150.9071;;;25-Jan-2025
153021;Samco Overnight Fund - Unclaimed Redemption Upto 3 years;;;1011.5000;;;25-Jan-2025

Shriram Mutual Fund
150562;Shriram Overnight Fund -  Direct Growth;INF680P01323;;11.6701;;;25-Jan-2025
150561;Shriram Overnight Fund - Direct Daily IDCW;;INF680P01331;10;;;25-Jan-2025
150567;Shriram Overnight Fund - Direct Monthly IDCW;INF680P01380;INF680P01398;10.0173;;;25-Jan-2025
150558;Shriram Overnight Fund - Regular Daily IDCW;;INF680P01257;10;;;25-Jan-2025
150565;Shriram Overnight Fund - Regular Growth;INF680P01232;;11.6436;;;25-Jan-2025
150560;Shriram Overnight Fund - Regular Monthly IDCW;INF680P01307;INF680P01315;10.0171;;;25-Jan-2025

Union Mutual Fund
147002;Union Overnight Fund - Direct Plan - Daily IDCW Option;;INF582M01FB0;1000.7910;;;25-Jan-2025
147003;Union Overnight Fund - Direct Plan - Growth Option;INF582M01FA2;;1329.1635;;;25-Jan-2025
147006;Union Overnight Fund - Direct Plan - Monthly IDCW Option;INF582M01FG9;INF582M01FE4;1005.9465;;;25-Jan-2025
146998;Union Overnight Fund - Regular Plan - Daily IDCW Option;;INF582M01FK1;1001.2517;;;25-Jan-2025
146997;Union Overnight Fund - Regular Plan - Growth Option;INF582M01FJ3;;1321.5291;;;25-Jan-2025
147000;Union Overnight Fund - Regular Plan - Monthly IDCW Option;INF582M01FP0;INF582M01FN5;1005.8761;;;25-Jan-2025
149451;Union Overnight Fund - Unclaimed Amounts Plan - IDCW Beyond 3 years;;;1000.0000;;;25-Jan-2025
149452;Union Overnight Fund - Unclaimed Amounts Plan - IDCW Upto 3 years;;;1198.4540;;;25-Jan-2025
149453;Union Overnight Fund - Unclaimed Amounts Plan - Redemption Beyond 3 years;;;1000.0000;;;25-Jan-2025
149454;Union Overnight Fund - Unclaimed Amounts Plan - Redemption Upto 3 years;;;1198.3001;;;25-Jan-2025

Open Ended Schemes ( Debt Scheme - Liquid Fund )


Bajaj Finserv Mutual Fund
151835;Bajaj Finserv Liquid Fund - Direct Plan - Daily - IDCW;;INF0QA701029;1034.6939;;;25-Jan-2025
151838;Bajaj Finserv Liquid Fund - Direct Plan - Fortnightly - IDCW;INF0QA701078;INF0QA701045;1037.0779;;;25-Jan-2025
151833;Bajaj Finserv Liquid Fund - Direct Plan - Growth;INF0QA701011;;1117.1205;;;25-Jan-2025
151836;Bajaj Finserv Liquid Fund - Direct Plan - Monthly - IDCW;INF0QA701086;INF0QA701052;1036.6267;;;25-Jan-2025
151834;Bajaj Finserv Liquid Fund - Direct Plan - Weekly - IDCW;INF0QA701060;INF0QA701037;1035.6363;;;25-Jan-2025
151839;Bajaj Finserv Liquid Fund - Regular Plan - Daily - IDCW;;INF0QA701136;1033.8241;;;25-Jan-2025
151841;Bajaj Finserv Liquid Fund - Regular Plan - Fortnightly - IDCW;INF0QA701151;INF0QA701110;1036.1437;;;25-Jan-2025
151837;Bajaj Finserv Liquid Fund - Regular Plan - Growth;INF0QA701094;;1114.1564;;;25-Jan-2025
151842;Bajaj Finserv Liquid Fund - Regular Plan - Monthly - IDCW;INF0QA701169;INF0QA701128;1035.7070;;;25-Jan-2025
151840;Bajaj Finserv Liquid Fund - Regular Plan - Weekly - IDCW;INF0QA701144;INF0QA701102;1034.7306;;;25-Jan-2025

Canara Robeco Mutual Fund
118307;CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment);;INF760K01FS0;1005.5000;;;25-Jan-2025
118305;CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION;INF760K01FU6;;3066.5423;;;25-Jan-2025
118304;CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment);INF760K01FT8;;2194.5935;;;25-Jan-2025
118306;CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment);INF760K01FV4;INF760K01FW2;1006.2804;;;25-Jan-2025
118308;CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment);INF760K01FY8;INF760K01FX0;1000.6801;;;25-Jan-2025
109349;CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment);;INF760K01CU3;1005.5000;;;25-Jan-2025
109353;CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION;INF760K01CW9;;3050.4932;;;25-Jan-2025
109351;CANARA ROBECO LIQUID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment);INF760K01CX7;INF760K01CY5;1006.2162;;;25-Jan-2025
109350;CANARA ROBECO LIQUID FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment);INF760K01BZ4;INF760K01CZ2;1000.6736;;;25-Jan-2025
139235;Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option;INF760K01IC8;;1672.6173;;;25-Jan-2025

Mahindra Manulife Mutual Fund
139535;Mahindra Manulife Liquid Fund - Direct Plan - Daily IDCW;;INF174V01051;1173.3131;;;25-Jan-2025
139536;Mahindra Manulife Liquid Fund - Direct Plan - Weekly IDCW;;INF174V01069;1003.3529;;;25-Jan-2025
139538;Mahindra Manulife Liquid Fund - Direct Plan -Growth;INF174V01044;;1666.6693;;;25-Jan-2025
139534;Mahindra Manulife Liquid Fund - Regular Plan - Daily IDCW;;INF174V01028;1000.5686;;;25-Jan-2025
139537;Mahindra Manulife Liquid Fund - Regular Plan - Growth;INF174V01010;;1649.7700;;;25-Jan-2025
139541;Mahindra Manulife Liquid Fund - Regular Plan - Weekly IDCW;;INF174V01036;1009.7752;;;25-Jan-2025

PPFAS Mutual Fund
143263;Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW;;INF879O01118;1000.5405;;;25-Jan-2025
143269;Parag Parikh Liquid Fund- Direct Plan- Growth;INF879O01068;;1418.2032;;;25-Jan-2025
143262;Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW;INF879O01076;INF879O01084;1007.9592;;;25-Jan-2025
143265;Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW;;INF879O01134;1001.8689;;;25-Jan-2025
143264;Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW;;INF879O01126;1000.5404;;;25-Jan-2025
143260;Parag Parikh Liquid Fund- Regular Plan- Growth;INF879O01035;;1408.6009;;;25-Jan-2025
143261;Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW;INF879O01043;INF879O01050;1007.8877;;;25-Jan-2025
143266;Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW;;INF879O01142;1001.8553;;;25-Jan-2025

Quantum Mutual Fund
103736;Quantum Liquid Fund - Direct Plan Daily IDCW;;INF082J01135;10.0085;;;25-Jan-2025
103734;Quantum Liquid Fund - Direct Plan Growth Option;INF082J01127;;34.2691;;;25-Jan-2025
103735;Quantum Liquid Fund - Direct Plan Monthly IDCW;INF082J01143;INF082J01200;10.0668;;;25-Jan-2025
141065;Quantum Liquid Fund - Regular Plan Daily IDCW;;INF082J01317;10.0002;;;25-Jan-2025
141066;Quantum Liquid Fund - Regular Plan Growth Option;INF082J01309;;34.0444;;;25-Jan-2025
141067;Quantum Liquid Fund - Regular Plan Monthly IDCW;INF082J01325;INF082J01333;10.0636;;;25-Jan-2025
152299;Quantum Liquid Fund - Unclaimed IDCW Plan Above 3 years;;;10.0000;;;25-Jan-2025
152298;Quantum Liquid Fund - Unclaimed IDCW Plan Below 3 years;;;10.7746;;;25-Jan-2025
152301;Quantum Liquid Fund - Unclaimed Redemption Plan Above 3 years;;;10.0000;;;25-Jan-2025
152300;Quantum Liquid Fund - Unclaimed Redemption Plan Below 3 years;;;10.3607;;;25-Jan-2025

Shriram Mutual Fund
153035;Shriram Liquid Fund - Direct Plan Growth Option;INF680P01430;;1014.5331;;;25-Jan-2025
153036;Shriram Liquid Fund - Regular Plan Growth Option;INF680P01448;;1014.2483;;;25-Jan-2025
153283;Shriram Unclaimed IDCW Stable Scheme Liquid Fund;;;1000;;;25-Jan-2025
153280;Shriram Unclaimed Redemption Liquid Fund;;;1001.0577;;;25-Jan-2025
153281;Shriram Unclaimed Redemption Stable Scheme Liquid Fund;;;1000;;;25-Jan-2025

Union Mutual Fund
115401;Union Liquid Fund - Daily IDCW Option;;INF582M01021;1000.7927;;;25-Jan-2025
119301;Union Liquid Fund - Direct Plan - Daily IDCW Option;;INF582M01682;1000.7927;;;25-Jan-2025
119305;Union Liquid Fund - Direct Plan - Fortnightly IDCW Option;INF582M01724;INF582M01708;1003.5965;;;25-Jan-2025
119303;Union Liquid Fund - Direct Plan - Growth Option;INF582M01674;;2468.1285;;;25-Jan-2025
119302;Union Liquid Fund - Direct Plan - Monthly IDCW Option;INF582M01732;INF582M01716;1006.5618;;;25-Jan-2025
119304;Union Liquid Fund - Direct Plan - Weekly IDCW Option;;INF582M01690;1001.5210;;;25-Jan-2025
115399;Union Liquid Fund - Fortnightly IDCW Option;INF582M01062;INF582M01047;1003.3682;;;25-Jan-2025
115398;Union Liquid Fund - Growth Option;INF582M01013;;2439.2012;;;25-Jan-2025
115400;Union Liquid Fund - Monthly IDCW Option;INF582M01070;INF582M01054;1006.4808;;;25-Jan-2025
115402;Union Liquid Fund - Weekly IDCW Option;;INF582M01039;1001.6714;;;25-Jan-2025

Open Ended Schemes ( Other Scheme - Other  ETFs )


Bajaj Finserv Mutual Fund
152638;Bajaj Finserv Nifty 1D Rate Liquid ETF;INF0QA701854;;1012.5026;;;25-Jan-2025

Shriram Mutual Fund
152741;Shriram Nifty 1D Rate Liquid ETF - Growth;INF680P01422;;1034.9095;;;25-Jan-2025
